Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV,GTDAT SIGN,GTDPRACTICAL,YR-1 CAP,YR-1 CASH
Louis Amundson,2016,PF,UFA,NYK,NYK,1,"$1,551,659","$1,551,659",$0,"$1,551,659","$980,431","$1,551,659"
David West,2016,PF,UFA,SAS,GSW,1,"$1,551,659","$1,551,659",$0,"$1,551,659",$0,$0
Jason Terry,2016,SG,UFA,HOU,MIL,1,"$1,551,659","$1,551,659",$0,"$1,551,659",$0,$0
Metta World Peace,2016,SF,UFA,LAL,LAL,1,"$1,551,659","$1,551,659",$0,$0,"$980,431","$1,551,659"
Elton Brand,2016,PF,UFA,PHI,PHI,1,"$1,551,659","$1,551,659",$0,$0,"$980,431","$1,551,659"
Steve Novak,2016,SF,UFA,MIL,MIL,1,"$1,551,659","$1,551,659",$0,"$1,551,659","$980,431","$1,551,659"
Anderson Varejao,2016,PF,UFA,GSW,GSW,1,"$1,551,659","$1,551,659",$0,"$1,551,659","$980,431","$1,551,659"
D.J. Stephens,2016,SG,UFA,,MEM,2,"$1,448,720","$724,360",$0,"$35,000","$543,471","$543,471"
Ryan Arcidiacono,2016,PG,UDFA,Villanova,SAS,2,"$1,448,720",$0,$0,$0,$0,$0
Matt Costello,2016,C,UDFA,Michigan State,ATL,2,"$1,448,720",$0,$0,"$50,000","$543,471","$543,471"
Shawn Long,2016,PF,UDFA,Louisiana-Lafayette,PHI,2,"$1,448,720",$0,$0,"$65,000",$0,$0
Shawn Long,2016,PF,UDFA,Louisiana-Lafayette,PHI,2,"$1,448,720",$0,$0,"$65,000",$0,$0
Shawn Long,2016,PF,UDFA,Louisiana-Lafayette,PHI,2,"$1,448,720",$0,$0,"$65,000",$0,$0
Isaiah Taylor,2016,PG,UDFA,Texas,HOU,2,"$1,448,720",$0,$0,"$50,000",$0,$0
James Webb III,2016,SF,UDFA,Boise State,PHI,2,"$1,448,720",$0,$0,"$65,000","$543,471","$543,471"
Jordan Farmar,2016,PG,UFA,MEM,SAC,1,"$1,410,598","$1,410,598",$0,$0,"$980,431","$1,410,598"
Gerald Green,2016,SG,UFA,MIA,BOS,1,"$1,410,598","$1,410,598",$0,"$1,410,598",$0,$0
Sasha Vujacic,2016,SG,UFA,NYK,NYK,1,"$1,410,598","$1,410,598",$0,"$1,410,598","$947,276","$1,356,146"
Alonzo Gee,2016,SF,UFA,NOP,NOP,1,"$1,400,000","$1,400,000",$0,"$1,400,000","$1,400,000","$1,400,000"
Ty Lawson,2016,PG,UFA,IND,SAC,1,"$1,315,448","$1,315,448",$0,$0,"$980,431","$1,315,448"
Alan Anderson,2016,SG,UFA,WAS,LAC,1,"$1,315,448","$1,315,448",$0,"$1,315,448","$980,431","$1,315,448"
Marcus Thornton,2016,SG,UFA,WAS,WAS,1,"$1,315,448","$1,315,448",$0,"$1,315,448","$980,431","$1,315,448"
Terrence Jones,2016,PF,UFA,HOU,NOP,1,"$1,050,961","$1,050,961",$0,"$1,050,961",$0,$0
Brian Roberts,2016,PG,UFA,POR,CHA,1,"$1,050,961","$1,050,961",$0,"$1,050,961","$980,431","$1,050,961"
Thomas Robinson,2016,PF,UFA,BKN,LAL,1,"$1,050,961","$1,050,961",$0,$0,$0,$0
Elliot Williams,2016,SG,UFA,,GSW,1,"$1,050,961","$1,050,961",$0,"$250,000","$980,431","$1,050,961"
Ian Clark,2016,SG,UFA,GSW,GSW,1,"$1,015,696","$1,015,696",$0,"$1,015,696","$980,431","$1,015,696"
Ray McCallum,2016,PG,UFA,,DET,1,"$1,015,696","$1,015,696",$0,$0,"$980,431","$1,015,696"
DeAndre Liggins,2016,SG,UFA,,CLE,1,"$1,015,696","$1,015,696",$0,"$25,000",$0,$0
Julyan Stone,2016,PG,UFA,,IND,1,"$1,015,696","$1,015,696",$0,"$50,000","$980,431","$1,015,696"
Cleanthony Early,2016,SF,UFA,NYK,NYK,1,"$980,431","$980,431",$0,$0,"$980,431","$980,431"
James McAdoo,2016,SF,UFA,GSW,GSW,1,"$980,431","$980,431",$0,"$980,431","$980,431","$980,431"
Chris Wright,2016,SF,UFA,,OKC,1,"$980,431","$980,431",$0,"$100,000","$2,147,483,647","$980,431"
Treveon Graham,2016,SF,UFA,,CHA,1,"$543,471","$543,471",$0,"$75,000","$525,093","$525,093"
J.P. Tokoto,2016,SG,UFA,,NYK,1,"$543,471","$543,471",$0,"$100,000","$543,471","$543,471"
Chasson Randle,2016,PG,UFA,,NYK,1,"$543,471","$543,471",$0,"$100,000","$543,471","$543,471"
Brady Heslip,2016,PG,UFA,,TOR,1,"$543,471","$543,471",$0,"$56,500","$543,471","$543,471"
Kevin Seraphin,2016,PF,UFA,NYK,IND,0,$0,$0,$0,$0,$0,$0
Stephen Curry,2017,PG,UFA,GSW,GSW,5,"$201,158,790","$40,231,758","$201,158,790","$201,158,790","$34,682,550","$34,682,550"
Blake Griffin,2017,PF,UFA,LAC,LAC,5,"$171,174,820","$34,234,964","$171,174,820","$171,174,820","$29,512,900","$29,512,900"
Gordon Hayward,2017,SF,UFA,UTA,BOS,4,"$127,829,970","$31,957,493",$0,"$127,829,970",$0,$0
Jrue Holiday,2017,PG,UFA,NOP,NOP,5,"$126,000,000","$25,200,000",$0,"$126,000,000",$0,$0
Otto Porter Jr.,2017,SF,RFA,WAS,BKN,4,"$106,524,975","$26,631,244","$106,524,975","$106,524,975","$24,773,250","$24,773,250"
Kyle Lowry,2017,PG,UFA,TOR,TOR,3,"$100,000,000","$33,333,333",$0,"$93,000,000",$0,$0
Tim Hardaway Jr.,2017,SG,RFA,ATL,NYK,4,"$70,950,000","$17,737,500",$0,"$70,950,000",$0,$0
Serge Ibaka,2017,C,UFA,TOR,TOR,3,"$65,000,000","$21,666,667",$0,"$65,000,000",$0,$0
Danilo Gallinari,2017,PF,UFA,DEN,LAC,3,"$64,762,737","$21,587,579",$0,"$64,762,737",$0,$0
Paul Millsap,2017,PF,UFA,ATL,DEN,2,"$61,000,000","$30,500,000",$0,"$60,000,000",$0,$0
George Hill,2017,PG,UFA,UTA,SAC,3,"$57,000,000","$19,000,000",$0,"$40,000,000",$0,$0
Jeff Teague,2017,PG,UFA,IND,MIN,3,"$57,000,000","$19,000,000",$0,"$57,000,000",$0,$0
Joe Ingles,2017,SF,RFA,UTA,UTA,4,"$52,000,000","$13,000,000",$0,"$50,000,000",$0,$0
Dion Waiters,2017,SG,UFA,MIA,MIA,4,"$52,000,000","$13,000,000",$0,"$47,300,000",$0,$0
Kevin Durant,2017,SF,UFA,GSW,GSW,2,"$51,250,000","$25,625,000","$51,250,000","$51,250,000","$25,000,000","$25,000,000"
Kelly Olynyk,2017,PF,UFA,BOS,MIA,4,"$50,000,000","$12,500,000",$0,"$45,610,826",$0,$0
Pau Gasol,2017,C,UFA,SAS,SAS,3,"$48,800,000","$16,266,667","$39,500,000","$39,500,000","$16,000,000","$16,000,000"
Andre Iguodala,2017,SF,UFA,GSW,GSW,3,"$48,000,000","$16,000,000","$48,000,000","$48,000,000","$14,814,815","$14,814,815"
Patty Mills,2017,PG,UFA,SAS,SAS,4,"$48,000,000","$12,000,000",$0,"$48,000,000",$0,$0
James Johnson,2017,PF,UFA,MIA,MIA,3,"$43,295,100","$14,431,700",$0,"$43,295,100",$0,$0
Mason Plumlee,2017,C,RFA,DEN,DEN,3,"$41,000,000","$13,666,667",$0,"$41,000,000",$0,$0
P.J. Tucker,2017,PF,UFA,TOR,HOU,4,"$31,878,148","$7,969,537",$0,"$26,477,799",$0,$0
Andre Roberson,2017,SG,RFA,OKC,OKC,3,"$30,000,000","$10,000,000","$30,000,000","$30,000,000","$9,259,260","$9,259,260"
Taj Gibson,2017,PF,UFA,OKC,MIN,2,"$28,000,000","$14,000,000",$0,"$28,000,000",$0,$0
C.J. Miles,2017,SF,UFA,IND,TOR,3,"$25,000,000","$8,333,333",$0,"$25,000,000",$0,$0
Zach Randolph,2017,PF,UFA,MEM,SAC,2,"$24,000,000","$12,000,000",$0,"$24,000,000",$0,$0
Shaun Livingston,2017,PG,UFA,GSW,GSW,3,"$23,692,308","$7,897,436",$0,"$18,000,000",$0,$0
J.J. Redick,2017,SG,UFA,LAC,PHI,1,"$23,000,000","$23,000,000",$0,"$23,000,000",$0,$0
Kyle Korver,2017,SG,UFA,CLE,CLE,3,"$22,060,000","$7,353,333","$18,000,000","$18,000,000","$7,000,000","$7,000,000"
Bojan Bogdanovic,2017,SF,UFA,WAS,IND,2,"$21,000,000","$10,500,000",$0,"$12,000,000",$0,$0
Darren Collison,2017,PG,UFA,SAC,IND,2,"$20,000,000","$10,000,000",$0,"$12,000,000",$0,$0
Kentavious Caldwell-Pope,2017,SG,UFA,DET,LAL,1,"$17,745,894","$17,745,894",$0,"$17,745,894",$0,$0
Rudy Gay,2017,PF,UFA,SAC,SAS,2,"$17,232,300","$8,616,150",$0,"$17,232,300",$0,$0
Alan Williams,2017,PF,RFA,PHX,PHX,3,"$17,000,000","$5,666,667","$6,000,000","$6,000,000","$6,000,000","$6,000,000"
Patrick Patterson,2017,PF,UFA,TOR,OKC,3,"$16,354,800","$5,451,600",$0,"$16,354,800",$0,$0
JaMychal Green,2017,PF,RFA,MEM,MEM,2,"$16,200,000","$8,100,000",$0,"$16,200,000",$0,$0
Nikola Mirotic,2017,PF,RFA,CHI,CHI,1,"$12,500,000","$12,500,000",$0,"$12,500,000",$0,$0
Shelvin Mack,2017,PG,UFA,UTA,ORL,2,"$12,000,000","$6,000,000",$0,"$7,000,000",$0,$0
Amir Johnson,2017,C,UFA,BOS,PHI,1,"$11,000,000","$11,000,000","$11,000,000","$11,000,000","$11,000,000","$11,000,000"
Nene Hilario,2017,C,UFA,HOU,HOU,3,"$10,954,440","$3,651,480",$0,"$10,954,440",$0,$0
Ben McLemore,2017,SF,UFA,SAC,MEM,2,"$10,660,000","$5,330,000",$0,"$10,660,000",$0,$0
Thabo Sefolosha,2017,SF,UFA,ATL,UTA,2,"$10,500,000","$5,250,000",$0,"$5,250,000",$0,$0
Mike Muscala,2017,C,UFA,ATL,ATL,2,"$10,000,000","$5,000,000","$10,000,000","$10,000,000","$5,000,000","$5,000,000"
Justin Holiday,2017,SG,UFA,NYK,CHI,2,"$9,000,000","$4,500,000",$0,"$9,000,000","$947,276","$947,276"
Ron Baker,2017,SG,UFA,NYK,NYK,2,"$8,872,400","$4,436,200","$8,872,400","$8,872,400","$4,328,000","$4,328,000"
Jamal Crawford,2017,SG,UFA,ATL,MIN,2,"$8,872,400","$4,436,200",$0,"$8,872,400",$0,$0
Jonas Jerebko,2017,PF,UFA,BOS,UTA,2,"$8,200,000","$4,100,000",$0,"$4,000,000",$0,$0
Vince Carter,2017,SG,UFA,MEM,SAC,1,"$8,000,000","$8,000,000",$0,"$8,000,000",$0,$0
Jodie Meeks,2017,SG,UFA,ORL,WAS,2,"$6,744,500","$3,372,250","$6,744,500","$6,744,500","$3,290,000","$3,290,000"
Ersan Ilyasova,2017,PF,UFA,ATL,ATL,1,"$6,000,000","$6,000,000",$0,"$6,000,000",$0,$0
Eric Moreland,2017,PF,UFA,,DET,3,"$5,478,899","$1,826,300",$0,"$500,000",$0,$0
Nick Young,2017,SG,UFA,LAL,GSW,1,"$5,192,000","$5,192,000",$0,"$5,192,000",$0,$0
Reggie Bullock,2017,SF,RFA,DET,DET,2,"$5,000,000","$2,500,000",$0,"$2,500,000",$0,$0
Dirk Nowitzki,2017,PF,UFA,DAL,DAL,1,"$5,000,000","$5,000,000",$0,"$5,000,000",$0,$0
Troy Williams,2017,SF,RFA,HOU,HOU,3,"$4,693,068","$1,564,356","$1,312,611","$1,312,611","$1,312,611","$1,312,611"
Aron Baynes,2017,C,UFA,DET,BOS,1,"$4,328,000","$4,328,000",$0,"$4,328,000",$0,$0
Nerlens Noel,2017,C,RFA,DAL,DAL,1,"$4,187,598","$4,187,598",$0,"$4,187,598",$0,$0
Tyler Zeller,2017,C,UFA,BOS,BKN,2,"$3,643,479","$1,821,740","$1,709,538","$1,709,538","$1,709,538","$1,709,538"
Zaza Pachulia,2017,C,UFA,GSW,GSW,1,"$3,477,600","$3,477,600",$0,"$3,477,600",$0,$0
Shabazz Muhammad,2017,SG,UFA,MIN,MIN,2,"$3,372,245","$1,686,123","$3,372,245","$3,372,245","$1,577,230","$1,577,230"
Jeff Withey,2017,C,UFA,UTA,DAL,2,"$3,372,245","$1,686,123","$350,000","$350,000","$1,577,230","$1,577,230"
Rajon Rondo,2017,PG,UFA,CHI,NOP,1,"$3,300,000","$3,300,000",$0,"$3,300,000",$0,$0
Tyreke Evans,2017,SG,UFA,SAC,MEM,1,"$3,290,000","$3,290,000",$0,"$3,290,000",$0,$0
Anthony Tolliver,2017,PF,UFA,SAC,DET,1,"$3,290,000","$3,290,000","$3,290,000","$3,290,000","$3,290,000","$3,290,000"
Tarik Black,2017,PF,UFA,LAL,HOU,1,"$3,290,000","$3,290,000","$3,290,000","$3,290,000","$3,290,000","$3,290,000"
Tyler Ennis,2017,PG,UFA,LAL,LAL,2,"$3,180,397","$1,590,199","$1,524,305","$1,524,305","$1,524,305","$1,524,305"
Joffrey Lauvergne,2017,PF,UFA,CHI,SAS,2,"$3,180,397","$1,590,199","$3,180,397","$3,180,397","$1,524,305","$1,524,305"
Diamond Stone,2017,C,UFA,ATL,CHI,2,"$2,857,562","$1,428,781","$50,000","$50,000","$1,312,611","$1,312,611"
Quinn Cook,2017,PG,UFA,NOP,ATL,2,"$2,857,562","$1,428,781","$31,969",$0,"$31,969","$31,969"
Wayne Selden,2017,SG,UFA,MEM,MEM,2,"$2,857,562","$1,428,781",$0,"$1,312,611",$0,$0
Michael Carter-Williams,2017,PG,UFA,CHI,CHA,1,"$2,700,000","$2,700,000",$0,"$2,700,000",$0,$0
Nick Collison,2017,PF,UFA,OKC,OKC,1,"$2,328,652","$2,328,652","$2,328,652","$2,328,652","$1,471,382","$1,471,382"
Tony Allen,2017,SG,UFA,MEM,NOP,1,"$2,328,652","$2,328,652",$0,"$2,328,652",$0,$0
Jeff Green,2017,PF,UFA,ORL,CLE,1,"$2,328,652","$2,328,652",$0,"$2,328,652",$0,$0
Ramon Sessions,2017,PG,UFA,CHA,NYK,1,"$2,328,652","$2,328,652","$2,328,652","$2,328,652","$1,471,382","$2,328,652"
Udonis Haslem,2017,PF,UFA,MIA,MIA,1,"$2,328,652","$2,328,652",$0,"$2,328,652",$0,$0
Gerald Green,2017,SG,UFA,BOS,MIL,1,"$2,328,652","$2,328,652",$0,$0,$0,$0
Raymond Felton,2017,PG,UFA,LAC,OKC,1,"$2,328,652","$2,328,652",$0,"$2,328,652",$0,$0
Jason Terry,2017,SG,UFA,MIL,MIL,1,"$2,328,652","$2,328,652","$2,328,652","$2,328,652","$1,471,382","$2,328,652"
Jose Calderon,2017,PG,UFA,ATL,CLE,1,"$2,328,652","$2,328,652",$0,"$2,328,652",$0,$0
Jarrett Jack,2017,PG,UFA,,NYK,1,"$2,328,652","$2,328,652",$0,$0,"$57,672","$91,274"
Dante Cunningham,2017,PF,UFA,NOP,NOP,1,"$2,300,000","$2,300,000",$0,$0,$0,$0
Cameron Oliver,2017,PF,UDFA,Nevada,HOU,2,"$2,193,857",$0,"$300,000","$300,000","$815,615","$815,615"
Anthony Morrow,2017,SG,UFA,CHI,POR,1,"$2,116,955","$2,116,955",$0,$0,"$1,471,382","$2,116,955"
Michael Beasley,2017,SF,UFA,MIL,NYK,1,"$2,116,955","$2,116,955",$0,$0,$0,"$306,527"
Luc Richard Mbah a Moute,2017,PF,UFA,LAC,HOU,1,"$2,116,955","$2,116,955","$2,116,955","$2,116,955","$1,471,382","$2,116,955"
Marreese Speights,2017,PF,UFA,LAC,ORL,1,"$2,116,955","$2,116,955",$0,"$2,116,955",$0,$0
Aaron Brooks,2017,PG,UFA,IND,MIN,1,"$2,116,955","$2,116,955",$0,$0,"$1,471,382","$2,116,955"
JaVale McGee,2017,C,UFA,GSW,GSW,1,"$2,116,955","$2,116,955",$0,"$2,116,955",$0,$0
Damien Wilkins,2017,SG,UFA,,IND,1,"$2,116,955","$2,116,955",$0,$0,"$1,471,382","$2,116,955"
Derrick Rose,2017,PG,UFA,NYK,CLE,1,"$2,106,470","$2,106,470",$0,"$2,106,470",$0,$0
Omri Casspi,2017,SF,UFA,MIN,GSW,1,"$2,106,470","$2,106,470","$185,710","$2,106,470","$138,414","$185,710"
Luke Babbitt,2017,SF,UFA,MIA,ATL,1,"$1,974,159","$1,974,159",$0,"$987,080",$0,$0
Mike Scott,2017,PF,UFA,PHX,WAS,1,"$1,709,538","$1,709,538",$0,"$1,709,538",$0,$0
Donald Sloan,2017,PG,UFA,,WAS,1,"$1,709,538","$1,709,538",$0,$0,"$1,471,382","$1,709,538"
Ian Clark,2017,SG,UFA,GSW,NOP,1,"$1,577,230","$1,577,230","$1,577,230","$1,577,230","$1,471,382","$1,577,230"
Willie Reed,2017,C,UFA,MIA,LAC,1,"$1,577,230","$1,577,230","$1,577,230","$1,577,230","$1,471,382","$1,577,230"
K.J. McDaniels,2017,SG,UFA,BKN,TOR,1,"$1,524,305","$1,524,305",$0,$0,"$1,471,382","$1,524,305"
Damjan Rudez,2017,SF,RFA,ORL,ORL,1,"$1,524,305","$1,524,305",$0,$0,"$1,471,382","$1,524,305"
Bobby Brown,2017,PG,RFA,HOU,HOU,1,"$1,524,305","$1,524,305",$0,$0,"$1,471,382","$1,524,305"
Shane Larkin,2017,PG,UFA,,BOS,1,"$1,524,305","$1,524,305",$0,"$1,524,305",$0,$0
Jordan Mickey,2017,PF,UFA,BOS,MIA,1,"$1,471,382","$1,471,382","$1,471,382","$1,471,382","$1,471,382","$1,471,382"
Briante Weber,2017,PG,UFA,CHA,LAL,1,"$1,471,382","$1,471,382","$50,000","$50,000","$1,471,382","$1,471,382"
Vander Blue,2017,SG,UFA,,LAL,1,"$1,471,382","$1,471,382","$50,000","$50,000","$1,471,382","$1,471,382"
Marshall Plumlee,2017,PF,UFA,NYK,LAC,1,"$1,312,611","$1,312,611",$0,$0,"$1,312,611","$1,312,611"
Stephen Zimmerman,2017,C,UFA,ORL,LAL,1,"$1,312,611","$1,312,611",$0,$0,"$1,312,611","$1,312,611"
Georges Niang,2017,PF,UFA,IND,GSW,1,"$1,312,611","$1,312,611",$0,$0,$0,$0
Michael Gbinije,2017,SG,UFA,DET,GSW,1,"$1,312,611","$1,312,611",$0,$0,"$1,312,611","$1,312,611"
Marcus Georges-Hunt,2017,SG,UFA,ORL,MIN,1,"$1,312,611","$1,312,611",$0,$0,"$1,312,611","$1,312,611"
Jarrod Uthoff,2017,SF,UFA,HOU,IND,1,"$1,312,611","$1,312,611",$0,$0,"$1,312,611","$1,312,611"
James Blackmon Jr.,2017,SG,UDFA,Indiana,PHI,1,"$815,615",$0,$0,$0,"$815,615","$815,615"
Luke Kornet,2017,C,UDFA,Vanderbilt,NYK,1,"$75,000",$0,$0,$0,$0,$0
Johnathan Motley,2017,PF,UDFA,Baylor,DAL,1,"$75,000",$0,$0,$0,$0,$0
Mario Chalmers,2017,PG,UFA,,MEM,1,$0,$0,$0,$0,$0,$0
Chris Boucher,2017,PF,UDFA,Oregon,GSW,0,$0,$0,$0,$0,$0,$0
Jalen Moore,2017,SF,UDFA,Utah State,MIL,0,$0,$0,$0,$0,$0,$0
Michael Young,2017,PF,UDFA,Pittsburgh,WAS,0,$0,$0,$0,$0,$0,$0
Chris Paul,2018,PG,UFA,HOU,HOU,4,"$159,730,592","$39,932,648",$0,"$159,730,592",$0,$0
LeBron James,2018,PF,UFA,CLE,LAL,4,"$153,312,846","$38,328,212",$0,"$153,312,846",$0,$0
Nikola Jokic,2018,C,RFA,DEN,DEN,5,"$147,710,050","$29,542,010",$0,"$142,710,045",$0,$0
Paul George,2018,SG,UFA,OKC,OKC,4,"$136,911,936","$34,227,984","$136,911,936","$136,911,936","$30,560,700","$30,560,700"
Aaron Gordon,2018,PF,RFA,ORL,ORL,4,"$80,000,000","$20,000,000",$0,"$76,000,000",$0,$0
Zach LaVine,2018,SG,RFA,CHI,CHI,4,"$78,000,000","$19,500,000",$0,"$78,000,000",$0,$0
Kevin Durant,2018,SF,UFA,GSW,GSW,2,"$61,500,000","$30,750,000","$61,500,000","$61,500,000","$30,000,000","$30,000,000"
Will Barton,2018,SG,UFA,DEN,DEN,4,"$53,000,000","$13,250,000",$0,"$53,000,000",$0,$0
Marcus Smart,2018,PG,RFA,BOS,BOS,4,"$51,999,900","$12,999,975",$0,"$50,000,000",$0,$0
Jusuf Nurkic,2018,C,RFA,POR,POR,4,"$48,000,000","$12,000,000",$0,"$40,000,000",$0,$0
Derrick Favors,2018,C,UFA,UTA,UTA,2,"$37,600,000","$18,800,000",$0,"$16,000,000",$0,$0
Kyle Anderson,2018,PF,RFA,SAS,MEM,4,"$37,156,300","$9,289,075",$0,"$37,156,300",$0,$0
Dante Exum,2018,PG,RFA,UTA,UTA,3,"$33,000,000","$11,000,000","$27,300,000","$27,300,000","$9,600,000","$9,600,000"
Jerami Grant,2018,PF,UFA,OKC,OKC,3,"$27,346,153","$9,115,384",$0,"$27,346,153",$0,$0
Avery Bradley,2018,PG,UFA,LAC,LAC,2,"$24,960,000","$12,480,000",$0,"$14,000,000",$0,$0
DeAndre Jordan,2018,C,UFA,LAC,DAL,1,"$22,897,200","$22,897,200",$0,"$22,897,200",$0,$0
Doug McDermott,2018,SF,UFA,DAL,IND,3,"$22,000,000","$7,333,333",$0,"$22,000,000",$0,$0
Ersan Ilyasova,2018,PF,UFA,PHI,MIL,3,"$21,000,000","$7,000,000","$565,718","$14,000,000","$357,454","$565,718"
Nemanja Bjelica,2018,PF,UFA,MIN,SAC,3,"$20,475,000","$6,825,000",$0,"$13,325,000",$0,$0
Jabari Parker,2018,PF,UFA,MIL,CHI,1,"$20,000,000","$20,000,000",$0,"$20,000,000",$0,$0
Fred VanVleet,2018,PG,RFA,TOR,TOR,2,"$18,000,000","$9,000,000",$0,"$18,000,000",$0,$0
Julius Randle,2018,PF,UFA,LAL,NOP,2,"$17,714,050","$8,857,025",$0,"$17,714,050",$0,$0
Joe Harris,2018,SG,UFA,BKN,BKN,2,"$16,000,000","$8,000,000",$0,"$16,000,000",$0,$0
Trevor Ariza,2018,SF,UFA,HOU,PHX,1,"$15,000,000","$15,000,000",$0,"$15,000,000",$0,$0
Davis Bertans,2018,PF,RFA,SAS,SAS,2,"$14,500,000","$7,250,000",$0,"$14,000,000",$0,$0
Tyreke Evans,2018,SG,UFA,MEM,IND,1,"$12,400,000","$12,400,000",$0,"$12,300,000",$0,$0
J.J. Redick,2018,SG,UFA,PHI,PHI,1,"$12,250,000","$12,250,000",$0,"$12,250,000",$0,$0
Montrezl Harrell,2018,C,RFA,LAC,LAC,2,"$12,000,000","$6,000,000",$0,"$12,000,000",$0,$0
Kentavious Caldwell-Pope,2018,SG,UFA,LAL,LAL,1,"$12,000,000","$12,000,000",$0,"$12,000,000",$0,$0
Marco Belinelli,2018,SG,UFA,PHI,SAS,2,"$12,000,000","$6,000,000",$0,"$12,000,000",$0,$0
Dwight Howard,2018,C,UFA,BKN,WAS,2,"$10,940,850","$5,470,425",$0,"$10,940,850",$0,$0
Aron Baynes,2018,C,UFA,BOS,BOS,2,"$10,646,880","$5,323,440",$0,"$10,646,880",$0,$0
Rudy Gay,2018,PF,UFA,SAS,SAS,1,"$10,087,200","$10,087,200",$0,"$10,087,200",$0,$0
Tony Parker,2018,PG,UFA,SAS,CHA,2,"$10,000,000","$5,000,000","$10,000,000","$10,000,000","$5,000,000","$5,000,000"
Rajon Rondo,2018,PG,UFA,NOP,LAL,1,"$9,000,000","$9,000,000","$5,184,358","$9,000,000","$2,564,753","$2,564,753"
Alex Len,2018,C,UFA,PHX,ATL,2,"$8,510,000","$4,255,000",$0,"$8,510,000",$0,$0
Wayne Ellington,2018,SG,UFA,MIA,MIA,1,"$6,270,000","$6,270,000","$6,000,000","$6,270,000","$6,000,000","$6,000,000"
Patrick McCaw,2018,SG,RFA,GSW,CLE,2,"$6,000,000","$3,000,000",$0,$0,"$3,000,000","$3,000,000"
Bryn Forbes,2018,SG,RFA,SAS,SAS,2,"$6,000,000","$3,000,000","$6,000,000","$6,000,000","$3,125,000","$3,125,000"
Isaiah Briscoe,2018,PG,UFA,,ORL,4,"$5,999,003","$1,499,751",$0,"$500,000",$0,$0
Anthony Tolliver,2018,PF,UFA,DET,MIN,1,"$5,750,000","$5,750,000","$5,750,000","$5,750,000","$5,750,000","$5,750,000"
DeMarcus Cousins,2018,C,UFA,NOP,GSW,1,"$5,337,000","$5,337,000",$0,"$5,337,000",$0,$0
Dirk Nowitzki,2018,PF,UFA,DAL,DAL,1,"$5,000,000","$5,000,000",$0,"$5,000,000",$0,$0
Georges Niang,2018,PF,RFA,UTA,UTA,3,"$4,941,515","$1,647,172",$0,"$4,941,515",$0,$0
Monte Morris,2018,PG,UFA,DEN,DEN,3,"$4,661,321","$1,553,774",$0,"$2,937,614",$0,$0
Ed Davis,2018,C,UFA,POR,BKN,1,"$4,449,000","$4,449,000",$0,"$4,449,000","$6,980,802","$6,980,802"
Kyle O'Quinn,2018,C,UFA,NYK,IND,1,"$4,449,000","$4,449,000",$0,"$4,449,000","$3,750,000","$3,595,506"
Lance Stephenson,2018,SG,UFA,IND,LAL,1,"$4,449,000","$4,449,000",$0,"$4,449,000","$980,431","$1,227,286"
Raul Neto,2018,PG,RFA,UTA,UTA,2,"$4,400,000","$2,200,000",$0,"$2,100,000",$0,$0
Luc Richard Mbah a Moute,2018,PF,UFA,HOU,LAC,1,"$4,320,500","$4,320,500","$4,320,500","$4,320,500","$4,320,500","$4,320,500"
Mike Scott,2018,PF,UFA,WAS,LAC,1,"$4,320,500","$4,320,500",$0,"$4,320,500",$0,$0
Glenn Robinson III,2018,SF,UFA,IND,DET,1,"$4,075,000","$4,075,000","$4,075,000","$4,075,000","$4,075,000","$4,075,000"
Torrey Craig,2018,SF,RFA,DEN,DEN,2,"$4,000,000","$2,000,000",$0,"$4,000,000",$0,$0
Shabazz Napier,2018,PG,UFA,POR,BKN,2,"$3,787,723","$1,893,862",$0,"$1,942,422",$0,$0
Nerlens Noel,2018,C,UFA,DAL,OKC,2,"$3,745,548","$1,872,774",$0,"$3,745,548",$0,$0
Michael Beasley,2018,SF,UFA,NYK,LAL,1,"$3,500,000","$3,500,000",$0,"$3,500,000","$1,471,382","$2,116,955"
Rodney Hood,2018,SF,RFA,CLE,CLE,1,"$3,472,887","$3,472,887",$0,"$3,472,887",$0,$0
James Ennis III,2018,SF,UFA,DET,HOU,2,"$3,466,716","$1,733,358",$0,"$3,466,716","$49,709","$49,709"
Brook Lopez,2018,C,UFA,LAL,MIL,1,"$3,382,000","$3,382,000",$0,"$3,382,000",$0,$0
Pat Connaughton,2018,SG,UFA,POR,MIL,2,"$3,364,050","$1,682,025","$3,364,050","$3,364,050","$1,641,000","$1,641,000"
Treveon Graham,2018,SF,UFA,CHA,BKN,2,"$3,157,958","$1,578,979","$75,000","$1,512,601","$543,471","$543,471"
Derrick Jones Jr.,2018,SF,RFA,MIA,MIA,2,"$3,157,958","$1,578,979",$0,"$1,512,601",$0,$0
Elfrid Payton,2018,PG,UFA,PHX,NOP,1,"$3,000,000","$3,000,000",$0,"$3,000,000",$0,$0
Tyrone Wallace,2018,SG,RFA,LAC,LAC,2,"$2,937,614","$1,468,807","$300,000","$300,000","$1,349,383","$1,349,383"
Jabari Bird,2018,SG,RFA,BOS,BOS,2,"$2,937,614","$1,468,807","$1,349,383","$1,349,383","$1,349,383","$1,349,383"
Seth Curry,2018,SG,UFA,DAL,POR,1,"$2,795,000","$2,795,000",$0,"$2,795,000",$0,$0
